symbol,strategy,score,reasons,time,interval,entry_price,SL,TP,result,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,adx,ema_short,ema_long,bb_width,volatility,atr,cci,parabolic_sar,vwap,wma,trix,bb_upper,bb_middle,bb_lower,ADX
BTCUSDT,strategy_candlestick,1,Engulfing שורי,31/03/2024 3:00,1d,71280.01,65972.46885,81895.0923,SL Hit,69582.17,71366,69562.99,71280.01,19396.34433,64.97067941,2134.799119,2244.228745,-109.4296263,23.40524218,69709.15441,67018.81551,2850.957633,2688.272751,3322.110704,71.72737583,63677.93898,52221.62466,68888.7441,0.498256608,71618.14282,70192.664,68767.18518,
BTCUSDT,strategy_candlestick,1,Engulfing שורי,20/05/2024 3:00,1d,71446.62,67636.82196,79066.21607,SL Hit,66274,71515.56,66060.31,71446.62,50816.7011,79.37147937,1021.504117,51.63042975,969.8736875,21.57829428,66871.15529,64584.17539,8523.568524,3303.173088,2760.305538,138.6023632,60946.11756,55335.00885,65463.10771,-0.01691124,71640.79226,67379.008,63117.22374,
BTCUSDT,strategy_candlestick,1,Engulfing שורי,03/06/2024 3:00,1d,68809.9,65334.00617,75761.68765,Still Open,67765.62,70288,67612.48,68809.9,29633.374,59.4223432,936.6653086,1091.595041,-154.9297319,19.38566932,68196.36586,67152.14569,1867.479208,677.2435903,2276.056504,78.3505856,70691.49542,55944.88027,68287.22924,0.264351754,68980.6516,68046.912,67113.1724,
BTCUSDT,strategy_candlestick,2,Engulfing שורי; תבנית Hammer,28/07/2024 3:00,1d,68249.88,64544.90089,75659.83821,Still Open,67896.49,68318.43,67066.66,68249.88,10868.69394,72.01925577,1629.363498,1149.803384,479.5601145,24.64606873,67101.76974,64591.35264,4819.043771,1061.033447,2367.852044,81.80231144,63575.5658,57141.16187,66862.98314,0.26714654,69455.58589,67046.064,64636.54211,
BTCUSDT,strategy_candlestick,1,תבנית Hammer,01/08/2024 3:00,1d,65354.02,61708.37653,72645.30694,SL Hit,64628.01,65659.78,62302,65354.02,35542.26854,43.6556052,1061.650133,1219.19915,-157.5490174,22.37098718,66039.05961,64889.97355,4971.119522,1246.55295,2467.479667,-114.9145739,70079.99,57249.98165,66466.08352,0.304431196,68726.47776,66240.918,63755.35824,
BTCUSDT,strategy_candlestick,1,Engulfing שורי,08/08/2024 3:00,1d,61685.99,56200.20531,72657.55939,Still Open,55133.76,62745.14,54730,61685.99,48349.52949,55.68037919,-1565.684712,-616.017736,-949.6669762,26.75882514,59087.64511,61958.52142,10826.87677,4364.748904,3502.468644,0.549356513,62882.66153,57231.50926,60175.93381,-0.085178821,62417.83238,57004.394,51590.95562,
BTCUSDT,strategy_candlestick,1,Engulfing שורי,16/08/2024 3:00,1d,58874.6,53141.2374,70341.3252,Still Open,57541.05,59817.76,57098.62,58874.6,27610.84344,46.79186548,-1276.800833,-1166.4012,-110.3996321,25.92236559,58984.03481,60698.31887,3953.109842,1933.9686,3259.08551,-95.62562662,51785.43774,57276.1215,58924.02314,-0.268456235,60983.12292,59006.568,57030.01308,
BTCUSDT,strategy_candlestick,1,Engulfing שורי,23/08/2024 3:00,1d,64037.24,60030.43518,72050.84964,Still Open,60375.83,64955,60342.14,64037.24,38118.07089,72.22398182,-284.6733908,-846.7334569,562.0600661,22.76711754,60842.39991,60615.50772,7117.413664,1824.714204,2962.37289,202.6551436,54288.99849,57331.98612,60096.39267,-0.221908333,64362.98883,60804.282,57245.57517,
BTCUSDT,strategy_candlestick,1,Engulfing שורי,02/09/2024 3:00,1d,59132.13,55630.38513,66135.61974,SL Hit,57301.77,59425.69,57128,59132.13,22895.01461,45.73219447,-581.0389083,-348.5960373,-232.442871,20.60281135,59232.13146,60235.65006,2993.374521,2435.771721,2512.659679,-62.07166559,64410.56502,57389.32228,59958.05105,-0.079018885,60274.88326,58778.196,57281.50874,
BTCUSDT,strategy_candlestick,1,Engulfing שורי,20/10/2024 3:00,1d,69031.99,66139.54903,74816.87194,SL Hit,68377.99,69400,68100,69031.99,12442.47378,83.98239258,1774.25127,1182.700245,591.5510251,21.03431623,67397.18986,64533.98614,2342.647773,2481.462012,1922.895523,86.12528614,61801.90216,57800.39832,66366.31219,0.261624123,69347.27989,68175.956,67004.63211,
